supplier,url,date,value_gbp,matched_sites,matched_catchments,snippet
Kier Integrated Services Limited,https://www.kier.co.uk/news-and-events/newsroom/press-releases/kier-secures-a-further-444m-of-eci-contracts-with-southern-water-to-deliver-amp8-wastewater-upgrades/,2025-12,19900000,Chickenhall; Fullerton; Leeds; Newnham Valley; Paddock Wood; Sellindge,ITCHEN; TEST; MEDWAY; MEDWAY; MEDWAY; STOUR,£19.9m ECI 6 WWTW
Kier Integrated Services Limited,https://www.theconstructionindex.co.uk/news/view/kier-lands-44m-southern-water-contracts,2025-12,24500000,Dambridge; Felbridge; Staplehurst; Ticehurst; Tonbridge; Ulcombe,STOUR; MEDWAY; BEULT; ROTHER; MEDWAY; MEDWAY,£24.5m ECI 6 WWTW
Kier Integrated Services Limited,https://www.newcivilengineer.com/latest/kier-wins-15-8m-southern-water-contract-to-design-nitrogen-and-uv-upgrades-13-08-2025/,2025-08,15800000,Portswood; Thornham,ITCHEN; CHICHESTER HARBOUR,£15.8m Portswood+Thornham
COSTAIN LIMITED,https://www.costain.com/media/press-releases/2024/cmdp-joint-venture-between-costain-and-mwh-treatment-awarded-65m-of-clean-water-projects-by-southern-water/,2024-06,65000000,Testwood; Burham,TEST; MEDWAY,£65m Testwood+Burham
COSTAIN LIMITED,https://www.costain.com/insights/2024/upgrade-of-horsham-new-wastewater-treatment-works/,2022-09,31000000,Horsham,ARUN,£31m Horsham WWTW
COSTAIN LIMITED,https://smartwatermagazine.com/news/southern-water/southern-water-invests-ps138m-upgrade-lingfield-wastewater-plant-and-reduce,2023-08,13800000,Lingfield,EDEN,£13.8m Lingfield WWTW
COSTAIN LIMITED,https://waterprojectsonline.com/case-studies/hailsham-south-2022/,2021-12,30000000,Hailsham North; Hailsham South,CUCKMERE; CUCKMERE,£30m Hailsham N+S
COSTAIN LIMITED,https://www.edie.net/southern-water-scheme-to-clean-up-kent-coast-nears-completion/,2017-01,70000000,Weatherlees; Margate; Broadstairs,NORTH SEA; NORTH SEA; NORTH SEA,£70m Weatherlees/Margate/Broadstairs
COSTAIN LIMITED,https://waterprojectsonline.com/case-studies/southern-water-winep-2023/,2023-01,0,Cherry Gardens; Scaynes Hill,ADUR; ADUR,"WINEP 37 sites: Cherry Gardens, Scaynes Hill"
Galliford Try Construction Limited,https://www.hanevo.com/galliford-try,2024-01,250000000,Petersfield,ROTHER,GT 22 sites asset upgrades
