catchment_name,total_spill_hours,num_overflow_sites,total_contract_value_gbp,num_contracts,value_per_spill_hour,status
SOLENT,292.97,61,124892886.67,8,426299.23,Contracted
PORTSMOUTH HARBOUR,61.5,27,61957500.0,4,1007439.02,Contracted
LANGSTONE HARBOUR,24.1,3,61800000.0,3,2564315.35,Contracted
IOW STREAMS,48.57,10,1135386.67,1,23376.3,Contracted
MEDINA,66.13,20,1135386.67,1,17169.01,Contracted
ANTON,1.03,1,571737.0,1,555084.47,Contracted
ITCHEN,206.54,21,571737.0,1,2768.17,Contracted
TEST,251.09,15,571737.0,1,2277.02,Contracted
ABBEY PETTY SEWER,0.31,1,0,0,0.0,None
ADUR,229.06,28,0,0,0.0,None
ALDINGBOURNE,21.34,6,0,0,0.0,None
ALUM BAY CHINE,2.91,1,0,0,0.0,None
ALVER,18.1,1,0,0,0.0,None
AN UNNAMED TRIBUTARY OF THE HERRINGS STREAM,0.33,1,0,0,0.0,None
ARUN,86.23,16,0,0,0.0,None
AVON WATER,0.33,1,0,0,0.0,None
BALANCING LAGOON ON THE PLENTY BROOK,0.06,1,0,0,0.0,None
BARDEN MILL STREAM,6.98,3,0,0,0.0,None
BARROWS BROOK,6.4,1,0,0,0.0,None
BARTLEY WATER,16.28,3,0,0,0.0,None
BEAULIEU,44.55,4,0,0,0.0,None
BECTON BUNNY,0.29,2,0,0,0.0,None
BELLS CREEK,32.71,1,0,0,0.0,None
BEULT,78.33,12,0,0,0.0,None
BEVERN STREAM,105.07,1,0,0,0.0,None
BEWL,0.44,1,0,0,0.0,None
BINSTEAD STREAM,2.67,1,0,0,0.0,None
BLACK DITCH,0.3,1,0,0,0.0,None
BLACKBRIDGE BROOK,9.16,1,0,0,0.0,None
BLACKBROOK STREAM,10.71,1,0,0,0.0,None
BLACKWATER,92.94,4,0,0,0.0,None
BOCKHANGER DYKE,3.52,1,0,0,0.0,None
BOLDINGS BROOK,0.9,2,0,0,0.0,None
BOLNEY SEWER,28.69,1,0,0,0.0,None
BOTANY STREAM,1.43,1,0,0,0.0,None
BOURNE,6.27,2,0,0,0.0,None
BREDE,23.22,8,0,0,0.0,None
BREMERE RIFE,3.2,1,0,0,0.0,None
BRIGHSTONE STREAM,0.79,2,0,0,0.0,None
BROAD RIFE,52.74,1,0,0,0.0,None
BROCKHAMPTON CREEK,9.17,5,0,0,0.0,None
BROCKHURST BROOK,9.55,1,0,0,0.0,None
BROOM CHANNEL,5.4,2,0,0,0.0,None
BUCKLAND STREAM,0.07,1,0,0,0.0,None
BULL RIVER,15.73,1,0,0,0.0,None
CAUL BOURNE STREAM,9.71,2,0,0,0.0,None
CELERY SEWER,0.37,1,0,0,0.0,None
CHALE BAY,1.18,1,0,0,0.0,None
CHESS BROOK,0.25,1,0,0,0.0,None
CHICHESTER HARBOUR,129.92,10,0,0,0.0,None
CHIDD,4.63,1,0,0,0.0,None
CHIDDINGFOLD STREAM,1.7,2,0,0,0.0,None
CHIDHAM STREAM,28.85,1,0,0,0.0,None
CHILT,0.85,1,0,0,0.0,None
CLIPPINGHAM STREAM,0.83,1,0,0,0.0,None
COCKHAISE BROOK,7.78,3,0,0,0.0,None
COLE STREAM,3.88,1,0,0,0.0,None
COMBE HAVEN VIA DRAIN,1.08,2,0,0,0.0,None
COOMBE BROOK,10.18,1,0,0,0.0,None
COWES HARBOUR,1.2,1,0,0,0.0,None
CRADLEBRIDGE SEWER,17.52,2,0,0,0.0,None
CRANE BROOK,0.88,2,0,0,0.0,None
CROWBOROUGH GHYLL,7.78,2,0,0,0.0,None
CUCKMERE,107.31,8,0,0,0.0,None
CURBRIDGE CREEK,1.03,1,0,0,0.0,None
DARK WATER,0.18,1,0,0,0.0,None
DITCH TO RIVER ALVER,7.97,1,0,0,0.0,None
DOLEHAM DITCH,0.87,2,0,0,0.0,None
DOUR,9.72,5,0,0,0.0,None
DROCKMILL HILL GUT,14.87,1,0,0,0.0,None
DUDWELL,13.76,2,0,0,0.0,None
DUNN,223.28,1,0,0,0.0,None
EAST STREAM,0.28,1,0,0,0.0,None
EDEN,12.46,4,0,0,0.0,None
EDEN VALE STREAM,1.84,1,0,0,0.0,None
ENGLISH CHANNEL,289.49,74,0,0,0.0,None
ERIDGE STREAM,1.81,2,0,0,0.0,None
FAVERSHAM CREEK,3.18,5,0,0,0.0,None
FAVERSHAM CREEK (VIA DRAIN),0.25,1,0,0,0.0,None
FELBRIDGE WATER,32.77,2,0,0,0.0,None
FERRING RIFE,5.6,1,0,0,0.0,None
FRAMFIELD STREAM,13.86,2,0,0,0.0,None
FROGNAL DRAIN,0.24,1,0,0,0.0,None
GIBBS BROOK,0.65,1,0,0,0.0,None
GLYNDE REACH,29.77,4,0,0,0.0,None
GODDENS GILL,54.91,1,0,0,0.0,None
GRAFFHAM STREAM,2.19,1,0,0,0.0,None
GREAT SALTEN LAKE,0.83,1,0,0,0.0,None
GROM,4.63,4,0,0,0.0,None
GULDEFORD SEWER,0.43,1,0,0,0.0,None
GURNARD LUCK STREAM,0.05,1,0,0,0.0,None
HAM BROOK,45.65,2,0,0,0.0,None
HAMBLE,115.94,11,0,0,0.0,None
HAMMER STREAM,1.67,1,0,0,0.0,None
HATCHET STREAM,17.01,1,0,0,0.0,None
HAWKHURST SOUTH STREAM,1.67,2,0,0,0.0,None
HAYLING BAY,9.97,1,0,0,0.0,None
HENS BROOK,1.25,1,0,0,0.0,None
HERMITAGE STREAM,1.46,1,0,0,0.0,None
HEXDEN CHANNEL,21.82,4,0,0,0.0,None
HILDEN BROOK,11.23,6,0,0,0.0,None
HOEFORD LAKE,13.87,1,0,0,0.0,None
HOEFORD STREAM,2.1,1,0,0,0.0,None
HOGWELL SEWER,6.88,2,0,0,0.0,None
HONEYBRIDGE STREAM,56.68,2,0,0,0.0,None
HOOK LAKE,12.53,2,0,0,0.0,None
HORN BROOK,4.18,1,0,0,0.0,None
HORSE EYE SEWER,5.93,4,0,0,0.0,None
HORTON HEATH STREAM,46.68,1,0,0,0.0,None
HORTON PRIORY DYKE,13.49,1,0,0,0.0,None
HURST HAVEN,165.54,3,0,0,0.0,None
JARVIS BROOK,0.7,2,0,0,0.0,None
KIRD,27.54,2,0,0,0.0,None
KNELLE PETTY SEWER,10.79,1,0,0,0.0,None
LANGNEY SEWER AT EASTBOURNE,0.13,1,0,0,0.0,None
LAVANT,118.38,2,0,0,0.0,None
LEN,8.34,9,0,0,0.0,None
LIDSEY RIFE,3.47,2,0,0,0.0,None
LIMDEN,28.9,2,0,0,0.0,None
LINE,0.72,1,0,0,0.0,None
LITTLESTONE SEWER,54.45,1,0,0,0.0,None
LOCAL WATERCOURSE,46.37,1,0,0,0.0,None
LONGFORD DITCH,7.28,1,0,0,0.0,None
LONGFORD STREAM,0.36,1,0,0,0.0,None
LOXWOOD STREAM,0.65,2,0,0,0.0,None
LYMINGTON,60.21,9,0,0,0.0,None
LYWOOD STREAM,10.62,2,0,0,0.0,None
MARPLEHURST STREAM,0.55,1,0,0,0.0,None
MARSHAM SEWER,15.27,4,0,0,0.0,None
MARSHCOURT,0.18,1,0,0,0.0,None
MATLEY BOG STREAM,16.82,1,0,0,0.0,None
MEDWAY,929.67,139,0,0,0.0,None
MEON,0.96,4,0,0,0.0,None
MIDDEN,0.12,1,0,0,0.0,None
MILL DITCH,15.21,3,0,0,0.0,None
MILL POND,1.75,1,0,0,0.0,None
MILL STREAM,21.05,2,0,0,0.0,None
MILTON CREEK,9.86,6,0,0,0.0,None
MINSTER MARSHES,9.02,2,0,0,0.0,None
MONKS BROOK VIA DRAIN,19.38,4,0,0,0.0,None
MONKTONMEAD BROOK,33.92,4,0,0,0.0,None
NEWTOWN RIVER,1.64,1,0,0,0.0,None
NORE RITHE/EMSWORTH HARBOUR,25.3,1,0,0,0.0,None
NORTH SEA,41.08,21,0,0,0.0,None
OUSE,150.74,28,0,0,0.0,None
PAGHAM RIFE,24.57,2,0,0,0.0,None
PANNEL SEWER,0.72,1,0,0,0.0,None
PAR BROOK,16.71,2,0,0,0.0,None
PIGEON COVE GILL,2.99,1,0,0,0.0,None
PIPPINGFORD BROOK,8.92,2,0,0,0.0,None
POOK BOURNE,7.5,3,0,0,0.0,None
POWDERMILL STREAM,5.39,2,0,0,0.0,None
QUEENS ROAD DITCH,8.5,1,0,0,0.0,None
RAY BROOK,0.32,1,0,0,0.0,None
READING SEWER,3.16,1,0,0,0.0,None
RHODEN STREAM,0.25,1,0,0,0.0,None
