supplier_name,total_contract_gbp,number_of_awards
Galliford Try Construction Limited,6213000000.00,2
MWH TREATMENT LIMITED,6200000000.00,1
Kier Integrated Services Limited,6200000000.00,1
COSTAIN LIMITED,6200000000.00,1
Morrison Water Services Limited,6200000000.00,1
SmartestEnergy Limited,1000000000.00,1
Clancy Docwra Limited,700000000.00,1
Barhale Limited,700000000.00,1
J Browne Construction Limited,700000000.00,1
Morrisons Water Services Limited,700000000.00,1
United Living Infrastructure Services,700000000.00,1
Cappagh Browne Utilities Limited,459000000.00,2
MID KENT ELECTRICAL ENGINEERING COMPANY LIMITED,371440000.00,2
Knowlton and Newman Ltd,371440000.00,2
Bridges Electrical Engineers Ltd,341536000.00,3
Horizon Water Infrastructure Limited,338072984.00,1
ECOGENR8 LIMITED,328536000.00,2
Z-TECH CONTROL SYSTEMS LIMITED,328536000.00,2
AR-CONTROL SYSTEMS LIMITED,328536000.00,2
ECONOTECH LIMITED,328536000.00,2
McAllister Bros. Ltd,272000000.00,1
Lanes Group Plc,272000000.00,1
ERIKS Industrial Services Ltd,254000000.00,2
STANTEC UK LIMITED,246500000.00,2
MOTT MACDONALD LIMITED,246500000.00,2
WSP UK LIMITED,246500000.00,2
BINNIES UK LIMITED,240000000.00,1
KPMG LLP,240000000.00,1
AECOM LIMITED,240000000.00,1
TURNER AND TOWNSEND PROJECT MANAGEMENT LIMITED,240000000.00,1
OVE ARUP & PARTNERS LIMITED,240000000.00,1
Netzsch Pumps & Systems Ltd,200000000.00,1
Seepex UK Ltd,200000000.00,1
NOV PROCESS & FLOW TECHNOLOGIES UK LIMITED,200000000.00,1
SELWOOD LTD,200000000.00,1
Xylem Water Solutions UK Ltd,200000000.00,1
Integrated Water Services Ltd,200000000.00,1
Grundfos Pumps Ltd,200000000.00,1
Mechanica Utilities Ltd,200000000.00,1
Lanes Group Limited,187000000.00,1
Biomarsh Environmental Ltd,187000000.00,1
Austin Contract Services Limited - ACS,187000000.00,1
Countrystyle Recycling Limited,187000000.00,1
Biffa Waste Services Limited,187000000.00,1
FGS Organics Limited,187000000.00,1
MTS Cleansing Services Limited,187000000.00,1
Asprey St John & Company Limited trading as Envirovue,187000000.00,1
MECHANICA UTILITIES LTD,171440000.00,1
CIVIL SAFETY TRAINING & RESCUE LIMITED,171440000.00,1
HORIZON SPECIALIST CONTRACTING LIMITED,171440000.00,1
INVERTER DRIVES SOUTHERN LIMITED,171440000.00,1
ROSS-SHIRE ENGINEERING LIMITED,171440000.00,1
ERIKS Industrial Service Limited,171440000.00,1
Rhames Limited,171440000.00,1
D R CLARK SERVICES LLP,171440000.00,1
QUANTUM CONTROLS LTD,171440000.00,1
Bridges (Electrical Engineers) Ltd,171440000.00,1
Jacopa Limited,171440000.00,1
MTS CLEANSING SERVICES LIMITED,171440000.00,1
G.A. ELECTRICAL SERVICES (MECHANICAL & ELECTRICAL CONTRACTORS) LIMITED,171440000.00,1
